alimento,grupo,equivalencia_casera,kcal_por_100g
Almeja fresca sin concha,AOA MBAG,1 pieza = 14 g,74
Alón de pollo sin piel,AOA MBAG,1 pieza = 29 g,128
Anchoa fresca,AOA MBAG,1 gramos = 1 g,130
Anillos de calamar,AOA MBAG,1 taza = 152 g,89
Armadillo,AOA MBAG,1 gramos = 1 g,167
Arrachera de avestruz,AOA MBAG,1 gramos = 1 g,90
Atún blanco en agua (drenado),AOA MBAG,1 lata = 100 g,130
Atún drenado,AOA MBAG,1 gramos = 1 g,185
Atún en agua drenado,AOA MBAG,1 lata = 100 g,118
Atún fresco,AOA MBAG,1 gramos = 1 g,143
Atún light (drenado),AOA MBAG,1 lata = 100 g,118
Bacalao Noruego,AOA MBAG,1 gramos = 1 g,293
Bacalao enlatado,AOA MBAG,1 gramos = 1 g,106
Bacalao fresco,AOA MBAG,1 gramos = 1 g,82
Bacalao seco,AOA MBAG,1 gramos = 1 g,293
Bagre,AOA MBAG,1 gramos = 0 g,95
Bagre Fileteado,AOA MBAG,1 gramos = 1 g,95
Bistec,AOA MBAG,1 gramos = 1 g,120
Bistec de res,AOA MBAG,1 gramos = 1 g,120
Bola de ternera,AOA MBAG,1 gramos = 1 g,117
Boquerón crudo,AOA MBAG,1 gramos = 1 g,114
Boquilla crudo,AOA MBAG,1 gramos = 1 g,82
Cabeza de pescado,AOA MBAG,1 gramos = 0 g,100
Cabrilla,AOA MBAG,1 gramos = 1 g,82
Cabrito,AOA MBAG,1 gramos = 1 g,144
Calamar Americano,AOA MBAG,1 gramos = 1 g,91
Calamar cocido,AOA MBAG,1 gramos = 1 g,185
Calamar crudo,AOA MBAG,1 gramos = 1 g,91
Calamar fresco entero,AOA MBAG,1 gramos = 1 g,91
Calamar fresco limpio,AOA MBAG,1 gramos = 1 g,91
Camaron de surimi,AOA MBAG,1 gramos = 1 g,100
Camarón 16-20,AOA MBAG,1 pieza = 20 g,105
Camarón U15,AOA MBAG,1 pieza = 20 g,105
Camarón cocido,AOA MBAG,1 pieza = 7 g,100
Camarón crudo mediano,AOA MBAG,1 pieza = 6 g,106
Camarón enlatado,AOA MBAG,1 taza = 128 g,100
Camarón gigante,AOA MBAG,1 pieza = 20 g,105
Camarón pacotilla,AOA MBAG,1 pieza = 6 g,106
Camarón seco,AOA MBAG,1 gramos = 1 g,367
Camarón seco helado,AOA MBAG,1 gramos = 1 g,367
Cangrejo,AOA MBAG,1 pieza = 21 g,88
Cangrejo cocido,AOA MBAG,1 gramos = 1 g,102
Cangrejo de Alaska,AOA MBAG,1 gramos = 1 g,102
Cangrejo de Alaska cocido,AOA MBAG,1 gramos = 1 g,102
Cangrejo enlatado,AOA MBAG,1 taza = 136 g,97
Carne de alce cocida,AOA MBAG,1 gramos = 1 g,136
Carne de armadillo,AOA MBAG,1 gramos = 1 g,160
Carne de avestruz,AOA MBAG,1 gramos = 1 g,89
Carne de faisán cruda sin piel,AOA MBAG,1 gramos = 1 g,133
Carne de jaiba,AOA MBAG,1 gramos = 1 g,98
Carne de res seca,AOA MBAG,1 gramos = 1 g,391
Carne de venado cruda,AOA MBAG,1 gramos = 1 g,156
Carne molida de pavo,AOA MBAG,1 gramos = 1 g,110
Carne molida de pollo,AOA MBAG,1 gramos = 1 g,113
Carne obscura de pollo cruda,AOA MBAG,1 gramos = 1 g,127
Cazón,AOA MBAG,1 gramos = 1 g,131
Cazón Fileteado,AOA MBAG,1 gramos = 1 g,130
Cecina,AOA MBAG,1 gramos = 1 g,160
Cecina enchilada,AOA MBAG,1 gramos = 1 g,160
Chambarete,AOA MBAG,1 gramos = 1 g,127
Chambarete de res,AOA MBAG,1 gramos = 1 g,127
Chapulines secos,AOA MBAG,1 gramos = 1 g,636
Charales frescos,AOA MBAG,1 gramos = 1 g,159
Charales secos,AOA MBAG,1 gramos = 1 g,317
Cherna,AOA MBAG,1 gramos = 1 g,84
Chipirón (calamar) crudo,AOA MBAG,1 gramos = 1 g,91
Chuleta ahumada,AOA MBAG,1 pieza = 68 g,100
Clara de huevo,AOA MBAG,1 pieza = 33 g,48
Clara de huevo en polvo,AOA MBAG,1 cucharada = 7 g,380
Codorniz,AOA MBAG,1 gramos = 1 g,133
Corazón de puerco cocido,AOA MBAG,1 gramos = 1 g,148
Corazón de puerco crudo,AOA MBAG,1 gramos = 1 g,117
Corazón de res cocido,AOA MBAG,1 gramos = 1 g,164
Corazón de res crudo,AOA MBAG,1 gramos = 1 g,113
Corazón de ternera cocido,AOA MBAG,1 gramos = 1 g,185
Corazón de ternera crudo,AOA MBAG,1 gramos = 1 g,110
Cuete,AOA MBAG,1 gramos = 1 g,95
Cuete de res,AOA MBAG,1 gramos = 1 g,95
Empuje,AOA MBAG,1 gramos = 1 g,112
Empuje de res,AOA MBAG,1 gramos = 1 g,112
